# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
4696.4 0.00000 0.00000 0.00000
4739.8 0.00000 0.00000 0.00000
4783.1 0.00000 0.00000 0.00000
4826.4 0.00000 0.00000 0.00000
4869.7 0.00000 0.00000 0.00000
4913.1 0.00000 0.00000 0.00000
4956.4 0.00000 0.00000 0.00000
4999.7 0.00000 0.00000 0.00000
5043.0 0.00000 0.00000 0.00000
5086.4 0.00000 0.00000 0.00000
5129.7 0.00000 0.00000 0.00000
5173.0 0.00000 0.00000 0.00000
5216.3 0.00000 0.00000 0.00000
5259.7 0.00000 0.00000 0.00000
5303.0 0.00000 0.00000 0.00000
5346.3 0.00000 0.00000 0.00000
5389.6 0.00000 0.00000 0.00000
5433.0 0.00000 0.00000 0.00000
5476.3 0.00000 0.00000 0.00000
5519.6 0.00000 0.00000 0.00000
5562.9 0.00000 0.00000 0.00000
5606.3 0.00000 0.00000 0.00000
5649.6 0.00000 0.00000 0.00000
5692.9 0.00000 0.00000 0.00000
5736.2 0.00000 0.00000 0.00000
5779.6 0.00000 0.00000 0.00000
5822.9 0.00000 0.00000 0.00000
5866.2 0.00000 0.00000 0.00000
5909.5 0.00000 0.00000 0.00000
5952.9 0.00000 0.00000 0.00000
5996.2 0.00000 0.00000 0.00000
6039.5 0.00000 0.00000 0.00000
6082.8 0.00000 0.00000 0.00000
6126.2 0.00000 0.00000 0.00000
6169.5 0.00000 0.00000 0.00000
6212.8 0.00000 0.00000 0.00000
6256.1 0.00000 0.00000 0.00000
6299.5 0.00000 0.00000 0.00000
6342.8 0.00000 0.00000 0.00000
6386.1 0.00000 0.00000 0.00000
6429.4 0.00000 0.00000 0.00000
6472.8 0.00000 0.00000 0.00000
6516.1 0.00000 0.00000 0.00000
6559.4 0.00000 0.00000 0.00000
6602.7 0.00000 0.00000 0.00000
6646.1 0.00000 0.00000 0.00000
6689.4 0.00000 0.00000 0.00000
